WindGustSpeed,Location,RainTomorrow,TempDiv,Humidity,Pressure,Location Name
28.0,0,0,16.8,31.0,1018.0,Adelaide
31.0,0,0,5.699999999999999,47.0,1031.4,Adelaide
48.0,0,0,11.8,40.0,1022.9,Adelaide
46.0,0,1,3.6999999999999993,60.0,1019.4,Adelaide
39.0,0,0,6.799999999999999,73.0,1020.5,Adelaide
30.0,0,0,8.5,53.0,1023.0,Adelaide
28.0,0,0,9.600000000000001,48.0,1025.1,Adelaide
30.0,0,0,8.2,50.0,1026.3,Adelaide
30.0,0,0,13.200000000000001,39.0,1024.0,Adelaide
37.0,0,0,8.8,24.0,1022.6,Adelaide
50.0,0,0,6.199999999999999,45.0,1036.0,Adelaide
41.0,0,0,2.8999999999999986,56.0,1025.2,Adelaide
20.0,0,0,14.400000000000002,51.0,1028.2,Adelaide
26.0,0,0,14.5,47.0,1024.3,Adelaide
24.0,0,0,16.2,41.0,1025.7,Adelaide
20.0,0,0,16.2,36.0,1026.9,Adelaide
20.0,0,0,16.9,32.0,1025.5,Adelaide
37.0,0,0,16.5,23.0,1019.8,Adelaide
43.0,0,1,11.099999999999998,24.0,1010.6,Adelaide
44.0,0,1,4.5,44.0,1014.6,Adelaide
39.0,0,0,9.899999999999999,60.0,1024.9,Adelaide
26.0,0,0,10.2,55.0,1029.6,Adelaide
35.0,0,1,9.1,49.0,1020.7,Adelaide
35.0,0,0,9.0,39.0,1034.1,Adelaide
33.0,0,0,8.899999999999999,45.0,1029.4,Adelaide
24.0,0,0,8.899999999999999,41.0,1020.8,Adelaide
24.0,0,0,15.3,32.0,1021.1,Adelaide
52.0,0,1,6.200000000000001,51.0,1011.5,Adelaide
50.0,0,1,5.4,80.0,1008.0,Adelaide
30.0,0,1,5.0,70.0,1019.2,Adelaide
22.0,0,0,5.899999999999999,59.0,1026.1,Adelaide
43.0,0,0,10.999999999999998,53.0,1020.0,Adelaide
37.0,0,0,6.799999999999999,73.0,1016.5,Adelaide
50.0,0,1,7.799999999999999,79.0,1016.3,Adelaide
24.0,0,0,7.6,72.0,1032.1,Adelaide
43.0,0,0,4.600000000000001,73.0,1015.6,Adelaide
63.0,0,1,6.199999999999999,44.0,1022.1,Adelaide
28.0,0,0,11.8,46.0,1031.1,Adelaide
30.0,0,0,12.0,34.0,1030.8,Adelaide
24.0,0,0,13.7,33.0,1033.0,Adelaide
20.0,0,0,13.899999999999999,50.0,1034.4,Adelaide
22.0,0,0,12.8,44.0,1032.4,Adelaide
28.0,0,0,7.799999999999999,42.0,1029.4,Adelaide
57.0,0,0,14.4,44.0,1027.9,Adelaide
30.0,0,0,10.5,45.0,1025.8,Adelaide
80.0,0,1,6.299999999999999,95.0,1006.1,Adelaide
24.0,0,0,9.8,52.0,1024.0,Adelaide
28.0,0,0,7.0,53.0,1017.2,Adelaide
35.0,0,0,14.299999999999999,21.0,1023.9,Adelaide
37.0,0,0,9.1,46.0,1026.7,Adelaide
30.0,0,0,13.0,50.0,1025.0,Adelaide
26.0,0,0,18.7,27.0,1016.4,Adelaide
39.0,0,0,19.799999999999997,15.0,1012.1,Adelaide
24.0,0,0,15.1,40.0,1012.7,Adelaide
85.0,0,0,12.5,64.0,1002.0,Adelaide
43.0,0,0,5.699999999999999,41.0,1020.3,Adelaide
28.0,0,0,11.3,46.0,1023.1,Adelaide
31.0,0,0,21.299999999999997,14.0,1015.7,Adelaide
59.0,0,0,9.900000000000002,65.0,1017.0,Adelaide
35.0,0,0,16.700000000000003,10.0,1009.6,Adelaide
41.0,0,0,12.0,50.0,1011.3,Adelaide
50.0,0,0,7.399999999999999,31.0,1022.2,Adelaide
39.0,0,0,10.4,38.0,1026.4,Adelaide
31.0,0,0,12.9,39.0,1023.6,Adelaide
30.0,0,0,11.500000000000002,44.0,1023.5,Adelaide
31.0,0,0,19.4,15.0,1021.4,Adelaide
41.0,0,0,17.200000000000003,9.0,1019.3,Adelaide
39.0,0,0,16.499999999999996,13.0,1020.1,Adelaide
46.0,0,0,19.1,17.0,1020.9,Adelaide
30.0,0,0,9.0,49.0,1014.2,Adelaide
28.0,0,0,13.0,41.0,1023.3,Adelaide
41.0,0,0,9.899999999999999,44.0,1013.5,Adelaide
48.0,0,0,18.8,19.0,1014.6,Adelaide
52.0,0,0,10.2,18.0,1018.3,Adelaide
59.0,0,1,7.699999999999999,20.0,1003.9,Adelaide
72.0,0,1,8.8,31.0,1004.9,Adelaide
41.0,0,1,6.999999999999998,61.0,1016.7,Adelaide
39.0,0,0,5.700000000000001,38.0,1022.8,Adelaide
30.0,0,0,11.4,49.0,1026.0,Adelaide
31.0,0,0,16.3,31.0,1020.8,Adelaide
37.0,0,0,17.7,23.0,1013.7,Adelaide
57.0,0,0,5.400000000000002,69.0,1013.5,Adelaide
67.0,0,0,8.0,36.0,1007.6,Adelaide
35.0,0,1,6.599999999999998,47.0,1016.9,Adelaide
30.0,0,1,9.100000000000001,74.0,1025.2,Adelaide
33.0,0,0,10.7,29.0,1023.2,Adelaide
35.0,0,0,11.799999999999999,23.0,1024.6,Adelaide
33.0,0,0,14.6,21.0,1026.5,Adelaide
37.0,0,0,17.2,9.0,1021.2,Adelaide
44.0,0,1,10.100000000000001,27.0,1015.9,Adelaide
33.0,0,0,8.200000000000001,54.0,1013.7,Adelaide
31.0,0,0,2.9999999999999982,53.0,1022.3,Adelaide
26.0,0,0,10.8,58.0,1020.9,Adelaide
39.0,0,0,7.200000000000001,38.0,1022.0,Adelaide
22.0,0,0,6.999999999999999,68.0,1030.3,Adelaide
24.0,0,0,11.2,58.0,1029.6,Adelaide
50.0,0,1,3.5,55.0,1018.2,Adelaide
20.0,0,1,6.399999999999999,80.0,1020.7,Adelaide
28.0,0,0,7.5,54.0,1025.1,Adelaide
31.0,0,0,8.1,44.0,1024.7,Adelaide
41.0,0,1,10.700000000000001,42.0,1019.5,Adelaide
41.0,0,1,2.0,97.0,1014.0,Adelaide
24.0,0,0,8.2,70.0,1019.5,Adelaide
20.0,0,0,8.900000000000002,57.0,1025.8,Adelaide
35.0,0,0,12.100000000000001,39.0,1025.7,Adelaide
24.0,0,0,10.400000000000002,41.0,1023.2,Adelaide
26.0,0,0,10.9,52.0,1016.7,Adelaide
26.0,0,0,11.1,27.0,1018.8,Adelaide
30.0,0,0,9.5,42.0,1019.5,Adelaide
26.0,0,0,9.400000000000002,53.0,1019.8,Adelaide
19.0,0,0,12.9,34.0,1020.6,Adelaide
28.0,0,0,14.5,37.0,1018.4,Adelaide
37.0,0,0,9.7,34.0,1014.3,Adelaide
24.0,0,1,9.299999999999999,41.0,1015.2,Adelaide
37.0,0,1,4.299999999999999,74.0,1008.8,Adelaide
56.0,0,1,4.100000000000001,74.0,1004.5,Adelaide
39.0,0,0,4.800000000000001,65.0,1016.6,Adelaide
